id,data,hora_brasilia,fase,grupo,etapa,mandante,visitante,gols_mandante,gols_visitante,pen_mandante,pen_visitante,cidade,estadio
KO_R32_11,2026-07-02,00:00,matamata,r32,Rodada de 32,?,?,,,,,TBD,
KO_R32_12,2026-07-02,00:00,matamata,r32,Rodada de 32,?,?,,,,,TBD,
KO_R32_13,2026-07-03,00:00,matamata,r32,Rodada de 32,?,?,,,,,TBD,
KO_R32_14,2026-07-03,00:00,matamata,r32,Rodada de 32,?,?,,,,,TBD,
KO_R32_15,2026-07-03,00:00,matamata,r32,Rodada de 32,?,?,,,,,TBD,
KO_R32_16,2026-07-03,00:00,matamata,r32,Rodada de 32,?,?,,,,,TBD,
KO_R16_1,2026-07-04,00:00,matamata,r16,Oitavas de Final,?,?,,,,,TBD,
KO_R16_2,2026-07-04,00:00,matamata,r16,Oitavas de Final,?,?,,,,,TBD,
KO_R16_3,2026-07-05,00:00,matamata,r16,Oitavas de Final,?,?,,,,,TBD,
KO_R16_4,2026-07-05,00:00,matamata,r16,Oitavas de Final,?,?,,,,,TBD,
KO_R16_5,2026-07-06,00:00,matamata,r16,Oitavas de Final,?,?,,,,,TBD,
KO_R16_6,2026-07-06,00:00,matamata,r16,Oitavas de Final,?,?,,,,,TBD,
KO_R16_7,2026-07-07,00:00,matamata,r16,Oitavas de Final,?,?,,,,,TBD,
KO_R16_8,2026-07-07,00:00,matamata,r16,Oitavas de Final,?,?,,,,,TBD,
KO_QF_1,2026-07-09,00:00,matamata,qf,Quartas de Final,?,?,,,,,TBD,
KO_QF_2,2026-07-09,00:00,matamata,qf,Quartas de Final,?,?,,,,,TBD,
KO_QF_3,2026-07-10,00:00,matamata,qf,Quartas de Final,?,?,,,,,TBD,
KO_QF_4,2026-07-11,00:00,matamata,qf,Quartas de Final,?,?,,,,,TBD,
KO_SF_1,2026-07-14,00:00,matamata,sf,Semifinal,?,?,,,,,TBD,
KO_SF_2,2026-07-15,00:00,matamata,sf,Semifinal,?,?,,,,,TBD,
KO_3P_1,2026-07-18,21:00,matamata,3p,3º Lugar,?,?,,,,,Miami,Hard Rock Stadium
KO_FIN_1,2026-07-19,18:00,matamata,final,Final,?,?,,,,,Nova York,MetLife Stadium
